date,O'Reilly Automotive,isPartial
2014-07-22,35,False
2014-07-23,37,False
2014-07-24,0,False
2014-07-25,0,False
2014-07-26,44,False
2014-07-27,0,False
2014-07-28,0,False
2014-07-29,36,False
2014-07-30,0,False
2014-07-31,36,False
2014-08-01,0,False
2014-08-02,0,False
2014-08-03,0,False
2014-08-04,0,False
2014-08-05,0,False
2014-08-06,36,False
2014-08-07,0,False
2014-08-08,0,False
2014-08-09,43,False
2014-08-10,0,False
2014-08-11,0,False
2014-08-12,0,False
2014-08-13,0,False
2014-08-14,0,False
2014-08-15,38,False
2014-08-16,0,False
2014-08-17,42,False
2014-08-18,35,False
2014-08-19,0,False
2014-08-20,0,False
2014-08-21,0,False
2014-08-22,0,False
2014-08-23,0,False
2014-08-24,0,False
2014-08-25,34,False
2014-08-26,0,False
2014-08-27,0,False
2014-08-28,35,False
2014-08-29,0,False
2014-08-30,0,False
2014-08-31,0,False
2014-09-01,0,False
2014-09-02,33,False
2014-09-03,0,False
2014-09-04,0,False
2014-09-05,0,False
2014-09-06,0,False
2014-09-07,0,False
2014-09-08,0,False
2014-09-09,0,False
2014-09-10,0,False
2014-09-11,34,False
2014-09-12,70,False
2014-09-13,0,False
2014-09-14,0,False
2014-09-15,0,False
2014-09-16,0,False
2014-09-17,100,False
2014-09-18,0,False
2014-09-19,0,False
2014-09-20,40,False
2014-09-21,0,False
2014-09-22,0,False
2014-09-23,33,False
2014-09-24,33,False
2014-09-25,0,False
2014-09-26,35,False
2014-09-27,0,False
2014-09-28,0,False
2014-09-29,0,False
2014-09-30,33,False
2014-10-01,33,False
2014-10-02,68,False
2014-10-03,0,False
2014-10-04,0,False
2014-10-05,0,False
2014-10-06,0,False
2014-10-07,0,False
2014-10-08,0,False
2014-10-09,0,False
2014-10-10,0,False
2014-10-11,79,False
2014-10-12,0,False
2014-10-13,0,False
2014-10-14,32,False
2014-10-15,0,False
2014-10-16,33,False
2014-10-17,0,False
2014-10-18,0,False
2014-10-19,0,False
2014-10-20,33,False
2014-10-21,0,False
2014-10-22,0,False
2014-10-23,0,False
2014-10-24,68,False
2014-10-25,0,False
2014-10-26,0,False
2014-10-27,0,False
2014-10-28,0,False
2014-10-29,0,False
2014-10-30,33,False
2014-10-31,0,False
2014-11-01,0,False
2014-11-02,0,False
2014-11-03,0,False
2014-11-04,0,False
2014-11-05,0,False
2014-11-06,0,False
2014-11-07,0,False
2014-11-08,0,False
2014-11-09,0,False
2014-11-10,0,False
2014-11-11,32,False
2014-11-12,32,False
2014-11-13,32,False
2014-11-14,33,False
2014-11-15,0,False
2014-11-16,0,False
2014-11-17,32,False
2014-11-18,34,False
2014-11-19,33,False
2014-11-20,0,False
2014-11-21,0,False
2014-11-22,0,False
2014-11-23,0,False
2014-11-24,0,False
2014-11-25,32,False
2014-11-26,0,False
2014-11-27,0,False
2014-11-28,0,False
2014-11-29,0,False
2014-11-30,0,False
2014-12-01,0,False
